# HAN (c) Todt
WCFS1	NC8
NC_004567|lp_2802|2495455_2496321|289AA	NZ_AGRI01000010|nc8_2381|174518_175384|289AA
NC_004567|lp_0613|583896_584441|182AA	NZ_AGRI01000003|nc8_0598|258782_259327|182AA
NC_004567|lp_2393|2156282_2157253|324AA	NZ_AGRI01000006|nc8_2118|772683_773654|324AA
NC_004567|lp_0295|266762_270895|1378AA	NZ_AGRI01000002|nc8_0262|270954_275102|1383AA
NC_004567|lp_0263|236050_237693|548AA	NZ_AGRI01000002|nc8_0236|245172_246815|548AA
NC_004567|lp_0206|190862_191653|264AA	NZ_AGRI01000002|nc8_0192|203405_204394|330AA
NC_004567|lp_0197|178865_181885|1007AA	NZ_AGRI01000002|nc8_0183|191462_194428|989AA
NC_004567|lp_0156|134069_134881|271AA	NZ_AGRI01000002|nc8_0147|146924_147619|232AA
NC_004567|lp_1419|1300478_1301716|413AA	NZ_AGRI01000004|nc8_1225|92003_93241|413AA
NC_004567|lp_2691|2388819_2389343|175AA	NZ_AGRI01000010|nc8_2288|70229_70753|175AA
NC_004567|lp_2690|2388041_2388682|214AA	NZ_AGRI01000010|nc8_2287|69451_70101|217AA
NC_004567|lp_0050|49758_50408|217AA	NZ_AGRI01000002|nc8_0060|64238_64888|217AA
NC_004567|lp_3543|3161661_3163712|684AA	NZ_AGRI01000001|nc8_3010|505350_507401|684AA
NC_004567|lp_2699|2399693_2400610|306AA	NZ_AGRI01000010|nc8_2294|81097_82014|306AA
NC_004567|lp_0129|114984_115406|141AA	NZ_AGRI01000002|nc8_0127|127929_128351|141AA
NC_004567|lp_0126|113390_113584|65AA	NZ_AGRI01000002|nc8_0124|126334_126528|65AA
NC_004567|lp_0127|113650_114252|201AA	NZ_AGRI01000002|nc8_0125|126594_127196|201AA
NC_004567|lp_0122|108588_109370|261AA	NZ_AGRI01000002|nc8_0121|122219_123001|261AA
NC_004567|lp_0124|109566_112304|913AA	NZ_AGRI01000002|nc8_0122|123197_125935|913AA
NC_004567|lp_1418|1299181_1300161|327AA	NZ_AGRI01000004|nc8_1224|90706_91686|327AA
NC_004567|lp_0121|107856_108563|236AA	NZ_AGRI01000002|nc8_0120|121415_122194|260AA
NC_004567|lp_2698|2398983_2399696|238AA	NZ_AGRI01000010|nc8_2293|80387_81100|238AA
NC_004567|lp_1521|1391551_1392582|344AA	NZ_AGRI01000005|nc8_1298|67995_69026|344AA
NC_004567|lp_1519|1389879_1391141|421AA	NZ_AGRI01000005|nc8_1297|66323_67585|421AA
NC_004567|lp_1523|1393470_1394216|249AA	NZ_AGRI01000005|nc8_1300|69914_70660|249AA
NC_004567|lp_1522|1392747_1393094|116AA	NZ_AGRI01000005|nc8_1299|69191_69538|116AA
NC_004567|lp_1527|1396933_1397463|177AA	NZ_AGRI01000005|nc8_1303|73377_73907|177AA
NC_004567|lp_1525|1395758_1396240|161AA	NZ_AGRI01000005|nc8_1302|72202_72684|161AA
NC_004567|lp_1529|1398667_1398981|105AA	NZ_AGRI01000005|nc8_1305|75111_75425|105AA
NC_004567|lp_1528|1397460_1398596|379AA	NZ_AGRI01000005|nc8_1304|73904_75040|379AA
NC_004567|lp_1574|1439735_1440370|212AA	NZ_AGRI01000006|nc8_1344|9918_10538|207AA
NC_004567|lp_1518|1389396_1389707|104AA	NZ_AGRI01000005|nc8_1296|65840_66151|104AA
NC_004567|lp_2967|2641188_2641724|179AA	NZ_AGRI01000001|nc8_2527|8428_8964|179AA
NC_004567|lp_2968|2641876_2642529|218AA	NZ_AGRI01000001|nc8_2528|9116_9769|218AA
NC_004567|lp_2974|2647097_2648062|322AA	NZ_AGRI01000001|nc8_2532|14338_15303|322AA
NC_004567|lp_2972|2645408_2646181|258AA	NZ_AGRI01000001|nc8_2530|12649_13422|258AA
NC_004567|lp_2973|2646078_2647079|334AA	NZ_AGRI01000001|nc8_2531|13319_14320|334AA
NC_004567|lp_1245|1130223_1131149|309AA	NZ_AGRI01000003|nc8_1093|766249_767175|309AA
NC_004567|lp_3002|2672906_2673268|121AA	NZ_AGRI01000001|nc8_2559|39983_40345|121AA
NC_004567|lp_2976|2650009_2650386|126AA	NZ_AGRI01000001|nc8_2534|17250_17636|129AA
NC_004567|lp_2995|2664511_2665191|227AA	NZ_AGRI01000001|nc8_2552|31678_32358|227AA
NC_004567|lp_3220|2868761_2870428|556AA	NZ_AGRI01000001|nc8_2747|226967_228634|556AA
NC_004567|lp_3221|2870482_2871483|334AA	NZ_AGRI01000001|nc8_2748|228688_229689|334AA
NC_004567|lp_3280|2920943_2921887|315AA	NZ_AGRI01000001|nc8_2799|280113_281057|315AA
NC_004567|lp_2143|1935676_1936275|200AA	NZ_AGRI01000006|nc8_1897|546927_547526|200AA
NC_004567|lp_1081|981385_982341|319AA	NZ_AGRI01000003|nc8_0952|616290_617378|363AA
NC_004567|lp_3412|3024823_3028233|1137AA	NZ_AGRI01000001|nc8_2892|370276_373686|1137AA
NC_004567|lp_2534|2260682_2261578|299AA	NZ_AGRI01000008|nc8_2165|4349_5245|299AA
NC_004567|lp_3438|3050541_3050810|90AA	NZ_AGRI01000001|nc8_2917|395961_396230|90AA
NC_004567|lp_3440|3050910_3051113|68AA	NZ_AGRI01000001|nc8_2918|396330_396533|68AA
NC_004567|lp_3441|3051242_3051796|185AA	NZ_AGRI01000001|nc8_2919|396662_397213|184AA
NC_004567|lp_3442|3051809_3052033|75AA	NZ_AGRI01000001|nc8_2920|397226_397450|75AA
NC_004567|lp_3444|3052231_3052896|222AA	NZ_AGRI01000001|nc8_2921|397648_398313|222AA
NC_004567|lp_3445|3053205_3055121|639AA	NZ_AGRI01000001|nc8_2922|398622_400538|639AA
NC_004567|lp_2210|1992621_1995008|796AA	NZ_AGRI01000006|nc8_1951|603800_606208|803AA
NC_004567|lp_3448|3056234_3056707|158AA	NZ_AGRI01000001|nc8_2925|401692_402165|158AA
NC_004567|lp_3449|3056766_3058118|451AA	NZ_AGRI01000001|nc8_2926|402224_403576|451AA
NC_004567|lp_3451|3060607_3061620|338AA	NZ_AGRI01000001|nc8_2928|406065_407078|338AA
NC_004567|lp_1957|1771106_1772176|357AA	NZ_AGRI01000006|nc8_1694|350856_351926|357AA
NC_004567|lp_2780|2472127_2472474|116AA	NZ_AGRI01000010|nc8_2361|151289_151636|116AA
NC_004567|lp_2781|2472575_2472892|106AA	NZ_AGRI01000010|nc8_2362|151737_152054|106AA
NC_004567|lp_2766|2457280_2458371|364AA	NZ_AGRI01000010|nc8_2351|138678_139769|364AA
NC_004567|lp_2767|2458399_2459580|394AA	NZ_AGRI01000010|nc8_2352|139797_140978|394AA
NC_004567|lp_2764|2456148_2456894|249AA	NZ_AGRI01000010|nc8_2349|137546_138292|249AA
NC_004567|lp_2765|2456894_2457115|74AA	NZ_AGRI01000010|nc8_2350|138292_138513|74AA
NC_004567|lp_2774|2466251_2466994|248AA	NZ_AGRI01000010|nc8_2357|145412_146155|248AA
NC_004567|lp_2776|2467214_2468524|437AA	NZ_AGRI01000010|nc8_2358|146376_147686|437AA
NC_004567|lp_2770|2462155_2462664|170AA	NZ_AGRI01000010|nc8_2353|141318_141827|170AA
NC_004567|lp_2772|2464347_2465018|224AA	NZ_AGRI01000010|nc8_2355|143508_144179|224AA
NC_004567|lp_3291|2929165_2929398|78AA	NZ_AGRI01000001|nc8_2809|288344_288577|78AA
NC_004567|lp_2979|2653008_2653415|136AA	NZ_AGRI01000001|nc8_2538|20179_20814|212AA
NC_004567|lp_1400|1282984_1284339|452AA	NZ_AGRI01000004|nc8_1209|74504_75859|452AA
NC_004567|lp_1401|1284342_1285814|491AA	NZ_AGRI01000004|nc8_1210|75862_77334|491AA
NC_004567|lp_0379|350484_351401|306AA	NZ_AGRI01000003|nc8_0348|17654_18571|306AA NZ_AGRI01000003|nc8_0355|21177_22094|306AA
NC_004567|lp_3141|2812052_2812327|92AA	NZ_AGRI01000001|nc8_2678|167301_167576|92AA
NC_004567|lp_1397|1281562_1282032|157AA	NZ_AGRI01000004|nc8_1206|73081_73551|157AA
NC_004567|lp_1398|1282316_1282654|113AA	NZ_AGRI01000004|nc8_1207|73836_74174|113AA
NC_004567|lp_1399|1282651_1282950|100AA	NZ_AGRI01000004|nc8_1208|74171_74470|100AA
NC_004567|lp_1362|1249013_1249525|171AA	NZ_AGRI01000004|nc8_1181|40553_41065|171AA
NC_004567|lp_2058|1861191_1861496|102AA	NZ_AGRI01000006|nc8_1769|431115_431420|102AA
NC_004567|lp_1443|1320330_1320956|209AA	NZ_AGRI01000005|nc8_1257|23324_23950|209AA
NC_004567|lp_1445|1321110_1322426|439AA	NZ_AGRI01000005|nc8_1258|24104_25420|439AA
NC_004567|lp_1440|1318902_1319465|188AA	NZ_AGRI01000005|nc8_1255|21895_22458|188AA
NC_004567|lp_1442|1319554_1320195|214AA	NZ_AGRI01000005|nc8_1256|22547_23188|214AA
NC_004567|lp_1729|1565018_1566364|449AA	NZ_AGRI01000006|nc8_1485|135954_137300|449AA
NC_004567|lp_2146|1938776_1940614|613AA	NZ_AGRI01000006|nc8_1900|549938_551776|613AA
NC_004567|lp_1446|1322728_1326006|1093AA	NZ_AGRI01000005|nc8_1259|25722_29000|1093AA
NC_004567|lp_2147|1940804_1941577|258AA	NZ_AGRI01000006|nc8_1901|551966_552739|258AA
NC_004567|lp_2977|2650468_2651511|348AA	NZ_AGRI01000001|nc8_2535|17718_18761|348AA
NC_004567|lp_2989|2660123_2660608|162AA	NZ_AGRI01000001|nc8_2546|27290_27775|162AA
NC_004567|lp_1539|1405151_1405735|195AA	NZ_AGRI01000005|nc8_1313|80155_80739|195AA
NC_004567|lp_2917|2594405_2595619|405AA	NZ_AGRI01000010|nc8_2486|283922_285136|405AA
NC_004567|lp_2086|1880693_1881211|173AA	NZ_AGRI01000006|nc8_1847|491948_492466|173AA
NC_004567|lp_2959|2634216_2635121|302AA	NZ_AGRI01000001|nc8_2520|1457_2362|302AA
NC_004567|lp_2975|2648504_2650012|503AA	NZ_AGRI01000001|nc8_2533|15745_17253|503AA
NC_004567|lp_2087|1881230_1883566|779AA	NZ_AGRI01000006|nc8_1848|492485_494818|778AA
NC_004567|lp_2488h|2226470_2226601|44AA	NZ_AGRI01000007|nc8_2133|346_477|44AA
NC_004567|lp_1593|1450982_1451317|112AA	NZ_AGRI01000006|nc8_1361|21150_21485|112AA
NC_004567|lp_2525|2252656_2254209|518AA	NZ_AGRI01000007|nc8_2159|26533_28086|518AA
NC_004567|lp_2229|2011958_2012701|248AA	NZ_AGRI01000006|nc8_1972|623136_623879|248AA
NC_004567|lp_2230|2012842_2013342|167AA	NZ_AGRI01000006|nc8_1973|624020_624520|167AA
NC_004567|lp_1579|1442076_1443011|312AA	NZ_AGRI01000006|nc8_1348|12244_13179|312AA
NC_004567|lp_2041|1843380_1843685|102AA	NZ_AGRI01000006|nc8_1754|413304_413609|102AA
NC_004567|lp_2040|1840789_1843365|859AA	NZ_AGRI01000006|nc8_1753|410712_413297|862AA
NC_004567|lp_2039|1840413_1840766|118AA	NZ_AGRI01000006|nc8_1752|410336_410689|118AA
NC_004567|lp_1705|1550011_1550130|40AA	NZ_AGRI01000006|nc8_1465|120951_121070|40AA
NC_004567|lp_1704|1549691_1549939|83AA	NZ_AGRI01000006|nc8_1464|120631_120879|83AA
NC_004567|lp_1703|1548582_1549478|299AA	NZ_AGRI01000006|nc8_1463|119523_120419|299AA
NC_004567|lp_1702|1548070_1548435|122AA	NZ_AGRI01000006|nc8_1462|119011_119376|122AA
NC_004567|lp_1701|1547454_1547912|153AA	NZ_AGRI01000006|nc8_1461|118395_118853|153AA
NC_004567|lp_1700|1546941_1547426|162AA	NZ_AGRI01000006|nc8_1460|117882_118367|162AA
NC_004567|lp_1534|1401350_1402501|384AA	NZ_AGRI01000005|nc8_1310|77795_78946|384AA
NC_004567|lp_3018|2685046_2685939|298AA	NZ_AGRI01000001|nc8_2574|52044_52937|298AA
NC_004567|lp_3019|2686053_2686577|175AA	NZ_AGRI01000001|nc8_2575|53052_53576|175AA
NC_004567|lp_3020|2686704_2687348|215AA	NZ_AGRI01000001|nc8_2576|53704_54348|215AA
NC_004567|lp_3021|2687547_2688683|379AA	NZ_AGRI01000001|nc8_2577|54547_55683|379AA
NC_004567|lp_3022|2688754_2689179|142AA	NZ_AGRI01000001|nc8_2578|55754_56179|142AA
NC_004567|lp_3023|2689179_2690699|507AA	NZ_AGRI01000001|nc8_2579|56179_57702|508AA
NC_004567|lp_1535|1402626_1403180|185AA	NZ_AGRI01000005|nc8_1311|79071_79625|185AA
NC_004567|lp_0336|308282_308845|188AA	NZ_AGRI01000002|nc8_0304|314361_314924|188AA
NC_004567|lp_0337|308883_309854|324AA	NZ_AGRI01000002|nc8_0305|314962_315933|324AA
NC_004567|lp_0339|310326_311501|392AA	NZ_AGRI01000002|nc8_0313|320188_321363|392AA
NC_004567|lp_0340|311677_312843|389AA	NZ_AGRI01000002|nc8_0314|321539_322705|389AA
NC_004567|lp_0343|313438_314253|272AA	NZ_AGRI01000002|nc8_0315|323300_324115|272AA
NC_004567|lp_3016|2683957_2684559|201AA	NZ_AGRI01000001|nc8_2572|50960_51562|201AA
NC_004567|lp_3017|2684713_2685060|116AA	NZ_AGRI01000001|nc8_2573|51711_52058|116AA
NC_004567|lp_2948|2625182_2626630|483AA	NZ_AGRI01000010|nc8_2511|312010_313458|483AA
NC_004567|lp_2942|2619989_2620891|301AA	NZ_AGRI01000010|nc8_2507|306850_307752|301AA
NC_004567|lp_1679|1529683_1530528|282AA	NZ_AGRI01000006|nc8_1438|99221_100066|282AA
NC_004567|lp_1936|1755561_1756202|214AA	NZ_AGRI01000006|nc8_1676|336512_337153|214AA
NC_004567|lp_1684|1532816_1533541|242AA	NZ_AGRI01000006|nc8_1442|102354_103079|242AA
NC_004567|lp_1937|1756205_1756639|145AA	NZ_AGRI01000006|nc8_1677|337156_337590|145AA
NC_004567|lp_0471|420927_421907|327AA	NZ_AGRI01000003|nc8_0434|92259_93239|327AA
NC_004567|lp_0469|419737_420561|275AA	NZ_AGRI01000003|nc8_0433|91069_91893|275AA
NC_004567|lp_0467|418119_419501|461AA	NZ_AGRI01000003|nc8_0432|89451_90833|461AA
NC_004567|lp_0466|417214_418050|279AA	NZ_AGRI01000003|nc8_0431|88546_89382|279AA
NC_004567|lp_2786|2475600_2476088|163AA	NZ_AGRI01000010|nc8_2366|154762_155250|163AA
NC_004567|lp_1955|1769226_1769978|251AA	NZ_AGRI01000006|nc8_1692|348976_349728|251AA
NC_004567|lp_1956|1770051_1771109|353AA	NZ_AGRI01000006|nc8_1693|349801_350859|353AA
NC_004567|lp_0461|414158_415102|315AA	NZ_AGRI01000003|nc8_0425|83454_84398|315AA
NC_004567|lp_3657|3277908_3278711|268AA	NZ_AGRI01000001|nc8_3104|609583_610386|268AA
NC_004567|lp_1741|1580860_1581585|242AA	NZ_AGRI01000006|nc8_1497|151787_152512|242AA
NC_004567|lp_3656|3276009_3277874|622AA	NZ_AGRI01000001|nc8_3103|607684_609549|622AA
NC_004567|lp_1706|1550146_1550412|89AA	NZ_AGRI01000006|nc8_1466|121086_121352|89AA
NC_004567|lp_3586|3202766_3203866|367AA	NZ_AGRI01000001|nc8_3041|536794_537894|367AA
NC_004567|lp_0396|360025_360897|291AA	NZ_AGRI01000003|nc8_0369|30673_31545|291AA
NC_004567|lp_3419|3035104_3035301|66AA	NZ_AGRI01000001|nc8_2899|380556_380753|66AA
NC_004567|lp_3420|3035468_3036877|470AA	NZ_AGRI01000001|nc8_2900|380920_382329|470AA
NC_004567|lp_3407|3021087_3021914|276AA	NZ_AGRI01000001|nc8_2887|366540_367367|276AA
NC_004567|lp_3408|3022062_3022580|173AA	NZ_AGRI01000001|nc8_2888|367515_368033|173AA
NC_004567|lp_2205|1990673_1991041|123AA	NZ_AGRI01000006|nc8_1948|601852_602220|123AA
NC_004567|lp_3404|3018894_3019646|251AA	NZ_AGRI01000001|nc8_2884|364346_365098|251AA
NC_004567|lp_3411|3023758_3024726|323AA	NZ_AGRI01000001|nc8_2891|369211_370179|323AA
NC_004567|lp_3418|3033341_3035002|554AA	NZ_AGRI01000001|nc8_2898|378793_380454|554AA
NC_004567|lp_3409|3022582_3023154|191AA	NZ_AGRI01000001|nc8_2889|368035_368649|205AA
NC_004567|lp_3410|3023186_3023509|108AA	NZ_AGRI01000001|nc8_2890|368639_368962|108AA
NC_004567|lp_1196|1089966_1090553|196AA	NZ_AGRI01000003|nc8_1048|722794_723387|198AA
NC_004567|lp_3027|2693316_2694074|253AA NC_004567|lp_3028|2694074_2694721|216AA	NZ_AGRI01000001|nc8_2583|60316_61722|469AA
NC_004567|lp_2885|2565416_2565955|180AA	NZ_AGRI01000010|nc8_2462|254955_255494|180AA
NC_004567|lp_0176|152585_153874|430AA	NZ_AGRI01000002|nc8_0165|165323_166612|430AA
NC_004567|lp_0177|153879_154763|295AA	NZ_AGRI01000002|nc8_0166|166617_167501|295AA
NC_004567|lp_0171|146413_147120|236AA	NZ_AGRI01000002|nc8_0160|159151_159858|236AA
NC_004567|lp_0175|151222_152475|418AA	NZ_AGRI01000002|nc8_0164|163960_165213|418AA
NC_004567|lp_0425|380213_380758|182AA	NZ_AGRI01000003|nc8_0392|50073_50618|182AA
NC_004567|lp_0426|380825_381493|223AA	NZ_AGRI01000003|nc8_0393|50685_51353|223AA
NC_004567|lp_0178|154791_155621|277AA	NZ_AGRI01000002|nc8_0167|167529_168359|277AA
NC_004567|lp_0557|513299_514141|281AA	NZ_AGRI01000003|nc8_0500|170716_171558|281AA
NC_004567|lp_0165|142774_143292|173AA	NZ_AGRI01000002|nc8_0155|155512_156030|173AA
NC_004567|lp_0166|143289_144278|330AA	NZ_AGRI01000002|nc8_0156|156027_157016|330AA
NC_004567|lp_1413|1292849_1294978|710AA	NZ_AGRI01000004|nc8_1220|84374_86503|710AA
NC_004567|lp_1412|1292433_1292555|41AA	NZ_AGRI01000004|nc8_1219|83958_84080|41AA
NC_004567|lp_1321|1216646_1218049|468AA	NZ_AGRI01000004|nc8_1151|14197_15600|468AA
NC_004567|lp_1322|1218076_1218582|169AA	NZ_AGRI01000004|nc8_1152|15627_16133|169AA
NC_004567|lp_2231a|2021158_2021538|127AA	NZ_AGRI01000006|nc8_1974|632009_632389|127AA
NC_004567|lp_1417|1296693_1299170|826AA	NZ_AGRI01000004|nc8_1223|88215_90695|827AA
NC_004567|lp_1416|1295483_1296703|407AA	NZ_AGRI01000004|nc8_1222|87008_88228|407AA
NC_004567|lp_1415|1295069_1295413|115AA	NZ_AGRI01000004|nc8_1221|86594_86938|115AA
NC_004567|lp_1324|1218924_1220024|367AA	NZ_AGRI01000004|nc8_1154|16467_17573|369AA
NC_004567|lp_1325|1219999_1220964|322AA	NZ_AGRI01000004|nc8_1155|17623_18513|297AA
NC_004567|lp_1300|1188998_1189717|240AA	NZ_AGRI01000003|nc8_1137|823847_824566|240AA
NC_004567|lp_1301|1189931_1191118|396AA	NZ_AGRI01000003|nc8_1138|824780_825967|396AA
NC_004567|lp_1088|991603_991929|109AA	NZ_AGRI01000003|nc8_0959|626640_626966|109AA
NC_004567|lp_1089|991993_992604|204AA	NZ_AGRI01000003|nc8_0960|627030_627641|204AA
NC_004567|lp_1302|1191255_1192757|501AA	NZ_AGRI01000003|nc8_1139|826103_827605|501AA
NC_004567|lp_1906|1724292_1724999|236AA	NZ_AGRI01000006|nc8_1635|295638_296345|236AA
NC_004567|lp_1095|996225_996962|246AA	NZ_AGRI01000003|nc8_0964|631243_631998|252AA
NC_004567|lp_1096|996962_997834|291AA	NZ_AGRI01000003|nc8_0965|631995_632870|292AA
NC_004567|lp_1090|992601_993533|311AA	NZ_AGRI01000003|nc8_0961|627638_628561|308AA
NC_004567|lp_1092|993790_994815|342AA	NZ_AGRI01000003|nc8_0962|628826_629851|342AA
NC_004567|lp_1945|1763406_1764293|296AA	NZ_AGRI01000006|nc8_1685|344357_345244|296AA
NC_004567|lp_0583|556435_556818|128AA	NZ_AGRI01000003|nc8_0572|232481_232867|129AA
NC_004567|lp_0576|534155_534961|269AA	NZ_AGRI01000003|nc8_0571|230595_231401|269AA
NC_004567|lp_0575|533143_534117|325AA	NZ_AGRI01000003|nc8_0570|229585_230559|325AA
NC_004567|lp_0574|531998_532852|285AA	NZ_AGRI01000003|nc8_0569|228440_229294|285AA
NC_004567|lp_2804|2497325_2498224|300AA	NZ_AGRI01000010|nc8_2383|176388_177287|300AA
NC_004567|lp_2803|2496340_2497206|289AA	NZ_AGRI01000010|nc8_2382|175403_176269|289AA
NC_004567|lp_1944|1762639_1763409|257AA	NZ_AGRI01000006|nc8_1684|343590_344360|257AA
NC_004567|lp_2234|2023570_2024211|214AA	NZ_AGRI01000006|nc8_1978|634430_635071|214AA
NC_004567|lp_2798|2492078_2492827|250AA	NZ_AGRI01000010|nc8_2377|171141_171890|250AA
NC_004567|lp_1914|1732613_1733146|178AA	NZ_AGRI01000006|nc8_1643|303959_304492|178AA
NC_004567|lp_1915|1733489_1734634|382AA	NZ_AGRI01000006|nc8_1644|304835_305980|382AA
NC_004567|lp_1908|1725553_1726758|402AA	NZ_AGRI01000006|nc8_1637|296899_298104|402AA
NC_004567|lp_1909|1726864_1727634|257AA	NZ_AGRI01000006|nc8_1638|298210_298980|257AA
NC_004567|lp_1904|1722006_1723244|413AA	NZ_AGRI01000006|nc8_1633|293352_294590|413AA
NC_004567|lp_1905|1723283_1724305|341AA	NZ_AGRI01000006|nc8_1634|294629_295651|341AA
NC_004567|lp_1912|1729426_1731822|799AA	NZ_AGRI01000006|nc8_1641|300772_303168|799AA
NC_004567|lp_1913|1732252_1732620|123AA	NZ_AGRI01000006|nc8_1642|303598_303966|123AA
NC_004567|lp_1910|1727649_1728590|314AA	NZ_AGRI01000006|nc8_1639|298995_299936|314AA
NC_004567|lp_1911|1728765_1729271|169AA	NZ_AGRI01000006|nc8_1640|300111_300617|169AA
NC_004567|lp_1381|1265519_1267258|580AA	NZ_AGRI01000004|nc8_1195|57060_58799|580AA
NC_004567|lp_1543|1408812_1410188|459AA	NZ_AGRI01000005|nc8_1316|83816_85165|450AA
NC_004567|lp_1388|1271333_1271578|82AA	NZ_AGRI01000004|nc8_1199|62874_63119|82AA
NC_004567|lp_1385|1267764_1269539|592AA	NZ_AGRI01000004|nc8_1197|59305_61080|592AA
NC_004567|lp_1391|1272685_1274373|563AA	NZ_AGRI01000004|nc8_1201|64226_65914|563AA
NC_004567|lp_1390|1271967_1272413|149AA	NZ_AGRI01000004|nc8_1200|63508_63954|149AA
NC_004567|lp_1541|1407207_1408643|479AA	NZ_AGRI01000005|nc8_1315|82211_83647|479AA
NC_004567|lp_1392|1274579_1275055|159AA	NZ_AGRI01000004|nc8_1202|66098_66574|159AA
NC_004567|lp_3666|3287513_3288313|267AA	NZ_AGRI01000001|nc8_3113|619188_619988|267AA
NC_004567|lp_3665|3286815_3287351|179AA	NZ_AGRI01000001|nc8_3112|618490_619026|179AA
NC_004567|lp_1425|1304872_1307310|813AA	NZ_AGRI01000004|nc8_1229|96397_98835|813AA
NC_004567|lp_0260|234432_234710|93AA	NZ_AGRI01000002|nc8_0233|243554_243832|93AA
NC_004567|lp_0261|234703_234990|96AA	NZ_AGRI01000002|nc8_0234|243825_244112|96AA
NC_004567|lp_0310|286486_287682|399AA	NZ_AGRI01000002|nc8_0277|290692_291888|399AA
NC_004567|lp_3664|3286154_3286699|182AA	NZ_AGRI01000001|nc8_3111|617829_618374|182AA
NC_004567|lp_3663|3285502_3285963|154AA	NZ_AGRI01000001|nc8_3110|617177_617638|154AA
NC_004567|lp_0381|352126_352668|181AA	NZ_AGRI01000003|nc8_0429|87233_87775|181AA NZ_AGRI01000003|nc8_0356|22818_23360|181AA
NC_004567|lp_0137|120668_121540|291AA	NZ_AGRI01000002|nc8_0134|133523_134395|291AA
NC_004567|lp_2488|2224954_2225085|44AA	NZ_AGRI01000006|nc8_2130|785942_786073|44AA
NC_004567|lp_3426|3040169_3040480|104AA	NZ_AGRI01000001|nc8_2906|385621_385932|104AA
NC_004567|lp_3290|2928449_2929087|213AA	NZ_AGRI01000001|nc8_2808|287628_288266|213AA
NC_004567|lp_0424|378602_379978|459AA	NZ_AGRI01000003|nc8_0390|48462_49838|459AA
NC_004567|lp_1708|1550623_1550844|74AA	NZ_AGRI01000006|nc8_1468|121564_121785|74AA
NC_004567|lp_1731|1568649_1569662|338AA	NZ_AGRI01000006|nc8_1487|139585_140598|338AA
NC_004567|lp_1732|1569819_1570865|349AA	NZ_AGRI01000006|nc8_1488|140755_141801|349AA
NC_004567|lp_1744|1582221_1583288|356AA	NZ_AGRI01000006|nc8_1499|153148_154215|356AA
NC_004567|lp_1745|1583288_1583959|224AA	NZ_AGRI01000006|nc8_1500|154215_154886|224AA
NC_004567|lp_1746|1583978_1584835|286AA	NZ_AGRI01000006|nc8_1501|154905_155762|286AA
NC_004567|lp_1747|1584926_1585426|167AA	NZ_AGRI01000006|nc8_1502|155853_156353|167AA
NC_004567|lp_0421|375816_375974|53AA	NZ_AGRI01000003|nc8_0387|45676_45834|53AA
NC_004567|lp_3479|3086650_3087657|336AA	NZ_AGRI01000001|nc8_2950|432099_433106|336AA
NC_004567|lp_3480|3087795_3089258|488AA	NZ_AGRI01000001|nc8_2951|433244_434707|488AA
NC_004567|lp_3324|2958086_2959753|556AA	NZ_AGRI01000001|nc8_2834|315821_317488|556AA
NC_004567|lp_3330|2962693_2963361|223AA	NZ_AGRI01000001|nc8_2837|320429_321097|223AA
NC_004567|lp_3334|2966962_2968653|564AA	NZ_AGRI01000001|nc8_2839|322932_324623|564AA
NC_004567|lp_3335|2969281_2970381|367AA	NZ_AGRI01000001|nc8_2840|325257_326351|365AA
NC_004567|lp_1235|1124413_1124640|76AA	NZ_AGRI01000003|nc8_1083|760440_760667|76AA
NC_004567|lp_3477|3085369_3085968|200AA	NZ_AGRI01000001|nc8_2948|430785_431417|211AA
NC_004567|lp_3478|3085965_3086552|196AA	NZ_AGRI01000001|nc8_2949|431414_432001|196AA
NC_004567|lp_3125|2791021_2792502|494AA	NZ_AGRI01000001|nc8_2666|152754_154235|494AA
NC_004567|lp_1151|1048761_1050134|458AA	NZ_AGRI01000003|nc8_1009|683798_685171|458AA
NC_004567|lp_1150|1047405_1048427|341AA	NZ_AGRI01000003|nc8_1008|682442_683464|341AA
NC_004567|lp_1149|1045876_1047300|475AA	NZ_AGRI01000003|nc8_1007|680913_682337|475AA
NC_004567|lp_1148|1044413_1045876|488AA	NZ_AGRI01000003|nc8_1006|679450_680913|488AA
NC_004567|lp_1146|1042877_1044052|392AA	NZ_AGRI01000003|nc8_1004|677914_679089|392AA
NC_004567|lp_1145|1040841_1042880|680AA	NZ_AGRI01000003|nc8_1003|675878_677917|680AA
NC_004567|lp_1144|1038557_1040824|756AA	NZ_AGRI01000003|nc8_1002|673594_675861|756AA
NC_004567|lp_1141|1036947_1038116|390AA	NZ_AGRI01000003|nc8_1001|671984_673153|390AA
NC_004567|lp_1140|1036286_1036834|183AA	NZ_AGRI01000003|nc8_1000|671323_671871|183AA
NC_004567|lp_1726|1563651_1564523|291AA	NZ_AGRI01000006|nc8_1483|134593_135459|289AA
NC_004567|lp_2160|1952868_1953071|68AA	NZ_AGRI01000006|nc8_1913|564048_564251|68AA
NC_004567|lp_0951|882802_883728|309AA	NZ_AGRI01000003|nc8_0846|519230_520156|309AA
NC_004567|lp_0949|881328_882080|251AA	NZ_AGRI01000003|nc8_0844|517756_518508|251AA
NC_004567|lp_0549|499655_500662|336AA	NZ_AGRI01000003|nc8_0492|157071_158078|336AA
NC_004567|lp_0887|817886_818644|253AA	NZ_AGRI01000003|nc8_0790|460844_461602|253AA
